"Original","Reclass","Level2","Level3","Level4"
"dia","OtherCD","OtherCD","Other","Undetermined"
"hiv","HIV","OtherCD","Other","Undetermined"
"lri","OtherCD","OtherCD","Other","Undetermined"
"mal","OtherCD","OtherCD","Other","Undetermined"
"mening","OtherCD","OtherCD","Other","Undetermined"
"tb","TB","OtherCD","Other","Undetermined"
"maternal","Maternal","OtherCD","Other","Undetermined"
"typhoid","OtherCD","OtherCD","Other","Undetermined"
"othercd","OtherCD","OtherCD","Other","Undetermined"
"mea","OtherCD","OtherCD","Other","Undetermined"
"cardio","Cardiovascular","OtherNCD","Other","Undetermined"
"congen","OtherNCD","OtherNCD","Other","Undetermined"
"digest","Digestive","OtherNCD","Other","Undetermined"
"endo","OtherNCD","OtherNCD","Other","Undetermined"
"neoplasm","Neoplasms","OtherNCD","Other","Undetermined"
"otherncd","OtherNCD","OtherNCD","Other","Undetermined"
"rta","RTI","OtherInj","Other","Undetermined"
"drown","Drowning","OtherInj","Other","Undetermined"
"colvio","CollectVio","OtherInj","Other","Undetermined"
"intvio","InterpVio","OtherInj","Other","Undetermined"
"selfharm","SelfHarm","OtherInj","Other","Undetermined"
"otherinj","OtherInj","OtherInj","Other","Undetermined"
"other","Other","Other","Other","Undetermined"
"undt","Undetermined","Undetermined","Undetermined","Undetermined"
"natdis","NatDis","OtherInj","Other","Undetermined"
